ID,Category,Prompt,Model,Time Taken (s)
prompt-1,Text Rendering,"A high-resolution overhead shot of a latte cup with realistic latte art that spells out the word ""COFFEE"" precisely in the white foam.",gpt-image-1-mini,16.665616035461426
prompt-1,Text Rendering,"A high-resolution overhead shot of a latte cup with realistic latte art that spells out the word ""COFFEE"" precisely in the white foam.",gpt-image-1.5,16.56150197982788
prompt-1,Text Rendering,"A high-resolution overhead shot of a latte cup with realistic latte art that spells out the word ""COFFEE"" precisely in the white foam.",gpt-image-2,19.772813081741333
prompt-1,Text Rendering,"A high-resolution overhead shot of a latte cup with realistic latte art that spells out the word ""COFFEE"" precisely in the white foam.",MAI-Image-2.5,18.77332091331482
prompt-1,Text Rendering,"A high-resolution overhead shot of a latte cup with realistic latte art that spells out the word ""COFFEE"" precisely in the white foam.",MAI-Image-2.5-Flash,20.440807819366455
prompt-1,Text Rendering,"A high-resolution overhead shot of a latte cup with realistic latte art that spells out the word ""COFFEE"" precisely in the white foam.",MAI-Image-2e,16.127827167510986
prompt-2,Counting / Numeracy,"Exactly seven red apples arranged in a circle around one green pear on a wooden table, top-down view.",gpt-image-1-mini,13.78926706314087
prompt-2,Counting / Numeracy,"Exactly seven red apples arranged in a circle around one green pear on a wooden table, top-down view.",gpt-image-1.5,13.293927907943726
prompt-2,Counting / Numeracy,"Exactly seven red apples arranged in a circle around one green pear on a wooden table, top-down view.",gpt-image-2,19.951445817947388
prompt-2,Counting / Numeracy,"Exactly seven red apples arranged in a circle around one green pear on a wooden table, top-down view.",MAI-Image-2.5,18.35828399658203
prompt-2,Counting / Numeracy,"Exactly seven red apples arranged in a circle around one green pear on a wooden table, top-down view.",MAI-Image-2.5-Flash,18.477736949920654
prompt-2,Counting / Numeracy,"Exactly seven red apples arranged in a circle around one green pear on a wooden table, top-down view.",MAI-Image-2e,15.819953918457031
prompt-3,Spatial Relationships,"A red cube on the left of a blue sphere, a green cylinder behind them, all placed on a white table, simple studio lighting.",gpt-image-1-mini,14.06569504737854
prompt-3,Spatial Relationships,"A red cube on the left of a blue sphere, a green cylinder behind them, all placed on a white table, simple studio lighting.",gpt-image-1.5,12.358995914459229
prompt-3,Spatial Relationships,"A red cube on the left of a blue sphere, a green cylinder behind them, all placed on a white table, simple studio lighting.",gpt-image-2,18.15480613708496
prompt-3,Spatial Relationships,"A red cube on the left of a blue sphere, a green cylinder behind them, all placed on a white table, simple studio lighting.",MAI-Image-2.5,18.71479606628418
prompt-3,Spatial Relationships,"A red cube on the left of a blue sphere, a green cylinder behind them, all placed on a white table, simple studio lighting.",MAI-Image-2.5-Flash,19.222564935684204
prompt-3,Spatial Relationships,"A red cube on the left of a blue sphere, a green cylinder behind them, all placed on a white table, simple studio lighting.",MAI-Image-2e,16.504857778549194
prompt-4,Attribute Binding,"A shelf with five books: the first is red, the second is green, the third is blue, the fourth is yellow, and the fifth is black.",gpt-image-1-mini,15.77174997329712
prompt-4,Attribute Binding,"A shelf with five books: the first is red, the second is green, the third is blue, the fourth is yellow, and the fifth is black.",gpt-image-1.5,17.117805242538452
prompt-4,Attribute Binding,"A shelf with five books: the first is red, the second is green, the third is blue, the fourth is yellow, and the fifth is black.",gpt-image-2,19.506973028182983
prompt-4,Attribute Binding,"A shelf with five books: the first is red, the second is green, the third is blue, the fourth is yellow, and the fifth is black.",MAI-Image-2.5,17.390247106552124
prompt-4,Attribute Binding,"A shelf with five books: the first is red, the second is green, the third is blue, the fourth is yellow, and the fifth is black.",MAI-Image-2.5-Flash,40.48774719238281
prompt-4,Attribute Binding,"A shelf with five books: the first is red, the second is green, the third is blue, the fourth is yellow, and the fifth is black.",MAI-Image-2e,14.168915748596191
prompt-5,Hands & Anatomy,"A detailed, close-up shot of a guitarist's hands intricately fingering a complex chord on the wooden fretboard of an acoustic guitar.",gpt-image-1-mini,14.49280595779419
prompt-5,Hands & Anatomy,"A detailed, close-up shot of a guitarist's hands intricately fingering a complex chord on the wooden fretboard of an acoustic guitar.",gpt-image-1.5,16.108083963394165
prompt-5,Hands & Anatomy,"A detailed, close-up shot of a guitarist's hands intricately fingering a complex chord on the wooden fretboard of an acoustic guitar.",gpt-image-2,22.614978075027462
prompt-5,Hands & Anatomy,"A detailed, close-up shot of a guitarist's hands intricately fingering a complex chord on the wooden fretboard of an acoustic guitar.",MAI-Image-2.5,18.59313201904297
prompt-5,Hands & Anatomy,"A detailed, close-up shot of a guitarist's hands intricately fingering a complex chord on the wooden fretboard of an acoustic guitar.",MAI-Image-2.5-Flash,18.584774017333984
